Original Word,Translated Word,Source,Used in Document
crypto,کرپٹو,Glossary,Yes
Crypto,کرپٹو,Glossary,Yes
AUTO,خودکار,LLM,Yes
TRADING,تجارتی,LLM,Yes
BOT,بوٹ,LLM,Yes
FOR,برائے,LLM,Yes
FOREX,فاریکس,LLM,Yes
COMMODITIES,اجناس,LLM,Yes
1,1,Glossary,Yes
Strategy,حکمت عملی,LLM,Yes
Creation,تخلیق,LLM,Yes
Management,انتظام,LLM,Yes
Advanced,ترقی یافتہ,LLM,Yes
scripting,اسکرپٹنگ,LLM,Yes
engine,انجن,LLM,Yes
for,برائے,LLM,Yes
custom,حسب ضرورت,LLM,Yes
strategies,حکمت عملیاں,LLM,Yes
Python,پائتھون,LLM,Yes
or,یا,LLM,Yes
proprietary,ملکیتی,LLM,Yes
DSL,ڈی ایس ایل,LLM,Yes
with,کے,Glossary,Yes
on,پر,Glossary,Yes
backtesting,بیک ٹیسٹنگ,LLM,Yes
adjustable,ایڈجسٹ ہونے والے,LLM,Yes
parameters,پیرامیٹرز,LLM,Yes
version,ورژن,Glossary,Yes
and,اور,Glossary,Yes
of,کا,Glossary,Yes
control,کنٹرول,LLM,Yes
rollback,واپسی,LLM,Yes
strategies,حکمت عملیوں,LLM,Yes
in,میں,Glossary,No
therapy,تھراپی,Glossary,No
activities,سرگرمیاں,Glossary,No
s,ایس,Glossary,No
assessment,تشخیص,Glossary,No
project,پروجیکٹ,Glossary,No
occupational,پیشہ,Glossary,No
to,کو,Glossary,No
we,ہم,Glossary,No
personal,ذاتی,Glossary,No
date,تاریخ,Glossary,No
agent,ایجنٹ,Glossary,No
autonomous,خود,Glossary,No
journalist,صحافی,Glossary,No
needs,ضروریات,Glossary,No
her,اس,Glossary,No
this,یہ,Glossary,No
phase,مرحلہ,Glossary,No
engage,مشغول,Glossary,No
everyday,روزمرہ,Glossary,No
academic,علمی,Glossary,No
all,سب,Glossary,No
relating,متعلق,Glossary,No
progress,ترقی,Glossary,No
learn,سیکھنا,Glossary,No
access,رسائی,Glossary,No
adequately,مناسب,Glossary,No
enable,فعال,Glossary,No
place,جگہ,Glossary,No
learning,سیکھنا,Glossary,No
be,ہونا,Glossary,No
what,کیا,Glossary,No
care,دیکھ,Glossary,No
play,کھیلنا,Glossary,No
independence,آزادی,Glossary,No
interaction,تفاعل,Glossary,No
functional,فعال,Glossary,No
perceptual,ادراکی,Glossary,No
sensory,حسی,Glossary,No
functioning,فعال,Glossary,No
motor,موٹر,Glossary,No
xx,ایکس,Glossary,No
at,پر,Glossary,No
home,گھر,Glossary,No
impact,اثر,Glossary,No
analysing,تجزیہ,Glossary,No
school,اسکول,Glossary,No
focus,توجہ,Glossary,No
participate,حصہ,Glossary,No
demands,مطالبات,Glossary,No
ability,صلاحیت,Glossary,No
expected,متوقع,Glossary,No
their,ان,Glossary,No
consist,مشتمل,Glossary,No
these,یہ,Glossary,No
people,لوگ,Glossary,No
young,نوجوان,Glossary,No
children,بچے,Glossary,No
considered,غور,Glossary,No
primarily,بنیادی,Glossary,No
are,ہیں,Glossary,No
performance,کارکردگی,Glossary,No
tasks,کام,Glossary,No
life,زندگی,Glossary,No
daily,روزانہ,Glossary,No
out,باہر,Glossary,No
carry,لے,Glossary,No
abilities,صلاحیتیں,Glossary,No
individual,فرد,Glossary,No
means,ذرائع,Glossary,No
approach,قریب,Glossary,No
down,نیچے,Glossary,No
top,اوپر,Glossary,No
follows,پیروی,Glossary,No
guidelines,رہنما,Glossary,No
cot,چارپائی,Glossary,No
will,مرضی,Glossary,No
line,لکیر,Glossary,No
setting,ترتیب,Glossary,No
educational,تعلیمی,Glossary,No
within,اندر,Glossary,No
college,کالج,Glossary,No
child,بچہ,Glossary,No
father,والد,Glossary,No
it,یہ,Glossary,No
various,مختلف,Glossary,No
sources,ذرائع,Glossary,No
objectively,معروضی,Glossary,No
title,عنوان,Glossary,No
soon,جلد,Glossary,No
information,معلومات,Glossary,No
as,بطور,Glossary,No
its,اس,Glossary,No
started,شروع,Glossary,No
working,کام,Glossary,No
work,کام,Glossary,No
transactions,لین,Glossary,No
from,سے,Glossary,No
time,وقت,Glossary,No
requested,درخواست,Glossary,No
0,۰,Glossary,No
company,کمپنی,Glossary,No
that,وہ,Glossary,No
an,ایک,Glossary,No
build,تعمیر,Glossary,No
aim,مقصد,Glossary,No
overview,جائزہ,Glossary,No
name,نام,Glossary,No
blockchain,بلاک,Glossary,No
your,آپ,Glossary,No
author,مصنف,Glossary,No
insert,داخل,Glossary,No
real,حقیقی,Glossary,No
gathers,جمع,Glossary,No
statement,بیان,Glossary,No
across,پار,Glossary,No
a,ایک,Glossary,No
good,اچھا,Glossary,No
platforms,پلیٹ,Glossary,No
then,پھر,Glossary,No
